NAME,population_estimate,population_margin,state,county,tract,block group
"Block Group 3, Census Tract 16.02, Multnomah County, Oregon",1821,372,41,51,1602,3
"Block Group 1, Census Tract 16.02, Multnomah County, Oregon",762,253,41,51,1602,1
"Block Group 4, Census Tract 16.02, Multnomah County, Oregon",1169,404,41,51,1602,4
"Block Group 3, Census Tract 28.02, Multnomah County, Oregon",1060,163,41,51,2802,3
"Block Group 1, Census Tract 28.02, Multnomah County, Oregon",1054,194,41,51,2802,1
"Block Group 2, Census Tract 28.02, Multnomah County, Oregon",1095,167,41,51,2802,2
"Block Group 3, Census Tract 36.02, Multnomah County, Oregon",1577,334,41,51,3602,3
"Block Group 1, Census Tract 36.02, Multnomah County, Oregon",1763,369,41,51,3602,1
"Block Group 2, Census Tract 36.02, Multnomah County, Oregon",1924,465,41,51,3602,2
"Block Group 4, Census Tract 36.02, Multnomah County, Oregon",1746,456,41,51,3602,4
"Block Group 3, Census Tract 51, Multnomah County, Oregon",1263,291,41,51,5100,3
"Block Group 1, Census Tract 51, Multnomah County, Oregon",4031,602,41,51,5100,1
"Block Group 2, Census Tract 51, Multnomah County, Oregon",2654,422,41,51,5100,2
"Block Group 1, Census Tract 60.02, Multnomah County, Oregon",2294,110,41,51,6002,1
"Block Group 1, Census Tract 86, Multnomah County, Oregon",1783,430,41,51,8600,1
"Block Group 2, Census Tract 86, Multnomah County, Oregon",2225,375,41,51,8600,2
"Block Group 2, Census Tract 71, Multnomah County, Oregon",622,183,41,51,7100,2
"Block Group 1, Census Tract 71, Multnomah County, Oregon",2047,237,41,51,7100,1
"Block Group 2, Census Tract 80.01, Multnomah County, Oregon",1574,313,41,51,8001,2
"Block Group 1, Census Tract 80.01, Multnomah County, Oregon",1766,432,41,51,8001,1
"Block Group 2, Census Tract 85, Multnomah County, Oregon",1072,287,41,51,8500,2
"Block Group 1, Census Tract 85, Multnomah County, Oregon",3446,408,41,51,8500,1
"Block Group 1, Census Tract 7.02, Multnomah County, Oregon",1416,299,41,51,702,1
"Block Group 3, Census Tract 7.02, Multnomah County, Oregon",1512,307,41,51,702,3
"Block Group 2, Census Tract 7.02, Multnomah County, Oregon",1043,231,41,51,702,2
"Block Group 4, Census Tract 7.02, Multnomah County, Oregon",1192,276,41,51,702,4
"Block Group 1, Census Tract 18.01, Multnomah County, Oregon",1426,307,41,51,1801,1
"Block Group 2, Census Tract 18.01, Multnomah County, Oregon",1536,228,41,51,1801,2
"Block Group 3, Census Tract 18.01, Multnomah County, Oregon",1674,282,41,51,1801,3
"Block Group 2, Census Tract 18.02, Multnomah County, Oregon",1622,256,41,51,1802,2
"Block Group 1, Census Tract 18.02, Multnomah County, Oregon",2074,220,41,51,1802,1
"Block Group 2, Census Tract 21, Multnomah County, Oregon",1342,216,41,51,2100,2
"Block Group 1, Census Tract 21, Multnomah County, Oregon",1075,142,41,51,2100,1
"Block Group 1, Census Tract 24.02, Multnomah County, Oregon",1182,249,41,51,2402,1
"Block Group 2, Census Tract 24.02, Multnomah County, Oregon",1155,212,41,51,2402,2
"Block Group 3, Census Tract 24.02, Multnomah County, Oregon",1284,291,41,51,2402,3
"Block Group 1, Census Tract 29.03, Multnomah County, Oregon",1596,492,41,51,2903,1
"Block Group 3, Census Tract 29.03, Multnomah County, Oregon",1546,440,41,51,2903,3
"Block Group 2, Census Tract 29.03, Multnomah County, Oregon",792,244,41,51,2903,2
"Block Group 4, Census Tract 29.03, Multnomah County, Oregon",1891,506,41,51,2903,4
"Block Group 3, Census Tract 33.01, Multnomah County, Oregon",1243,290,41,51,3301,3
"Block Group 1, Census Tract 33.01, Multnomah County, Oregon",1181,223,41,51,3301,1
"Block Group 2, Census Tract 33.01, Multnomah County, Oregon",845,177,41,51,3301,2
"Block Group 1, Census Tract 37.02, Multnomah County, Oregon",765,112,41,51,3702,1
"Block Group 2, Census Tract 37.02, Multnomah County, Oregon",603,139,41,51,3702,2
"Block Group 3, Census Tract 37.02, Multnomah County, Oregon",1234,173,41,51,3702,3
"Block Group 1, Census Tract 38.01, Multnomah County, Oregon",1058,211,41,51,3801,1
"Block Group 3, Census Tract 38.01, Multnomah County, Oregon",1231,216,41,51,3801,3
"Block Group 2, Census Tract 38.01, Multnomah County, Oregon",851,184,41,51,3801,2
"Block Group 1, Census Tract 42, Multnomah County, Oregon",1819,333,41,51,4200,1
"Block Group 2, Census Tract 42, Multnomah County, Oregon",2006,241,41,51,4200,2
"Block Group 3, Census Tract 47, Multnomah County, Oregon",1705,337,41,51,4700,3
"Block Group 2, Census Tract 47, Multnomah County, Oregon",1531,287,41,51,4700,2
"Block Group 1, Census Tract 47, Multnomah County, Oregon",1563,278,41,51,4700,1
"Block Group 2, Census Tract 65.02, Multnomah County, Oregon",2057,456,41,51,6502,2
"Block Group 1, Census Tract 65.02, Multnomah County, Oregon",2381,292,41,51,6502,1
"Block Group 1, Census Tract 68.02, Multnomah County, Oregon",1733,229,41,51,6802,1
"Block Group 2, Census Tract 68.02, Multnomah County, Oregon",1774,195,41,51,6802,2
"Block Group 1, Census Tract 75, Multnomah County, Oregon",2475,478,41,51,7500,1
"Block Group 3, Census Tract 75, Multnomah County, Oregon",1914,379,41,51,7500,3
"Block Group 2, Census Tract 75, Multnomah County, Oregon",1193,289,41,51,7500,2
"Block Group 1, Census Tract 78, Multnomah County, Oregon",951,237,41,51,7800,1
"Block Group 2, Census Tract 78, Multnomah County, Oregon",1247,161,41,51,7800,2
"Block Group 1, Census Tract 88, Multnomah County, Oregon",1630,505,41,51,8800,1
"Block Group 3, Census Tract 88, Multnomah County, Oregon",1282,292,41,51,8800,3
"Block Group 2, Census Tract 88, Multnomah County, Oregon",1525,285,41,51,8800,2
"Block Group 1, Census Tract 92.01, Multnomah County, Oregon",1723,398,41,51,9201,1
"Block Group 3, Census Tract 92.01, Multnomah County, Oregon",2578,632,41,51,9201,3
"Block Group 2, Census Tract 92.01, Multnomah County, Oregon",4164,807,41,51,9201,2
"Block Group 2, Census Tract 98.04, Multnomah County, Oregon",1406,250,41,51,9804,2
"Block Group 1, Census Tract 98.04, Multnomah County, Oregon",1769,264,41,51,9804,1
"Block Group 1, Census Tract 99.03, Multnomah County, Oregon",1181,351,41,51,9903,1
"Block Group 3, Census Tract 99.03, Multnomah County, Oregon",1859,409,41,51,9903,3
"Block Group 2, Census Tract 99.03, Multnomah County, Oregon",2002,599,41,51,9903,2
"Block Group 4, Census Tract 99.03, Multnomah County, Oregon",1282,505,41,51,9903,4
"Block Group 2, Census Tract 101, Multnomah County, Oregon",4283,578,41,51,10100,2
"Block Group 4, Census Tract 101, Multnomah County, Oregon",1458,454,41,51,10100,4
"Block Group 1, Census Tract 101, Multnomah County, Oregon",751,364,41,51,10100,1
"Block Group 3, Census Tract 101, Multnomah County, Oregon",2263,477,41,51,10100,3
"Block Group 2, Census Tract 103.06, Multnomah County, Oregon",1995,327,41,51,10306,2
"Block Group 1, Census Tract 103.06, Multnomah County, Oregon",1812,350,41,51,10306,1
"Block Group 3, Census Tract 103.06, Multnomah County, Oregon",1118,411,41,51,10306,3
"Block Group 1, Census Tract 104.09, Multnomah County, Oregon",4658,555,41,51,10409,1
"Block Group 2, Census Tract 104.09, Multnomah County, Oregon",2491,439,41,51,10409,2
"Block Group 3, Census Tract 104.09, Multnomah County, Oregon",979,314,41,51,10409,3
"Block Group 1, Census Tract 16.01, Multnomah County, Oregon",808,225,41,51,1601,1
"Block Group 6, Census Tract 16.01, Multnomah County, Oregon",903,290,41,51,1601,6
"Block Group 4, Census Tract 16.01, Multnomah County, Oregon",1174,320,41,51,1601,4
"Block Group 5, Census Tract 16.01, Multnomah County, Oregon",979,297,41,51,1601,5
"Block Group 2, Census Tract 16.01, Multnomah County, Oregon",707,228,41,51,1601,2
"Block Group 3, Census Tract 16.01, Multnomah County, Oregon",1247,366,41,51,1601,3
"Block Group 4, Census Tract 6.01, Multnomah County, Oregon",1411,275,41,51,601,4
"Block Group 1, Census Tract 6.01, Multnomah County, Oregon",1909,421,41,51,601,1
"Block Group 2, Census Tract 6.01, Multnomah County, Oregon",1070,344,41,51,601,2
"Block Group 3, Census Tract 6.01, Multnomah County, Oregon",764,254,41,51,601,3
"Block Group 4, Census Tract 9.01, Multnomah County, Oregon",964,155,41,51,901,4
"Block Group 2, Census Tract 9.01, Multnomah County, Oregon",1086,209,41,51,901,2
"Block Group 3, Census Tract 9.01, Multnomah County, Oregon",1123,202,41,51,901,3
"Block Group 1, Census Tract 9.01, Multnomah County, Oregon",1291,208,41,51,901,1
"Block Group 2, Census Tract 9.02, Multnomah County, Oregon",1291,298,41,51,902,2
"Block Group 3, Census Tract 9.02, Multnomah County, Oregon",1670,501,41,51,902,3
"Block Group 1, Census Tract 9.02, Multnomah County, Oregon",1723,344,41,51,902,1
"Block Group 1, Census Tract 17.02, Multnomah County, Oregon",2078,298,41,51,1702,1
"Block Group 2, Census Tract 17.02, Multnomah County, Oregon",727,177,41,51,1702,2
"Block Group 3, Census Tract 17.02, Multnomah County, Oregon",1352,399,41,51,1702,3
"Block Group 3, Census Tract 19, Multnomah County, Oregon",1074,158,41,51,1900,3
"Block Group 4, Census Tract 19, Multnomah County, Oregon",1442,156,41,51,1900,4
"Block Group 1, Census Tract 19, Multnomah County, Oregon",1217,138,41,51,1900,1
